Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (powers of two).Data_HashMap_Lazy.16,123489,11030,240,0,52428800
All.insert (powers of two).Data_HashMap_Strict.16,107142,7504,240,0,52428800
All.insert (powers of two).HashMapBL.16,100843,5700,616,0,52428800
All.insert (powers of two).HashMapBB.16,95876,8840,616,0,52428800
All.insert (powers of two).HashMapBU.16,88372,8482,616,0,52428800
All.insert (powers of two).HashMapUL.16,97306,5276,616,0,52428800
All.insert (powers of two).HashMapUB.16,76786,3730,616,0,52428800
All.insert (powers of two).HashMapUU.16,72391,6434,576,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.32,216214,18792,407,0,52428800
All.insert (powers of two).Data_HashMap_Strict.32,201277,7190,408,0,52428800
All.insert (powers of two).HashMapBL.32,152569,14730,959,1,52428800
All.insert (powers of two).HashMapBB.32,134690,6470,959,1,52428800
All.insert (powers of two).HashMapBU.32,133313,8030,959,1,52428800
All.insert (powers of two).HashMapUL.32,141165,11720,960,1,52428800
All.insert (powers of two).HashMapUB.32,123330,3584,959,1,52428800
All.insert (powers of two).HashMapUU.32,122634,8218,919,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.64,381494,25956,417,0,52428800
All.insert (powers of two).Data_HashMap_Strict.64,432443,8444,416,0,52428800
All.insert (powers of two).HashMapBL.64,230052,16960,816,0,52428800
All.insert (powers of two).HashMapBB.64,200548,8046,815,0,52428800
All.insert (powers of two).HashMapBU.64,169567,3200,815,0,52428800
All.insert (powers of two).HashMapUL.64,204070,13106,816,0,52428800
All.insert (powers of two).HashMapUB.64,149577,6002,815,0,52428800
All.insert (powers of two).HashMapUU.64,95858,3622,775,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.128,651257,28014,434,0,52428800
All.insert (powers of two).Data_HashMap_Strict.128,831189,46712,436,0,52428800
All.insert (powers of two).HashMapBL.128,270009,7926,847,0,52428800
All.insert (powers of two).HashMapBB.128,238258,16460,847,0,52428800
All.insert (powers of two).HashMapBU.128,184621,9864,847,0,52428800
All.insert (powers of two).HashMapUL.128,270376,15366,848,0,52428800
All.insert (powers of two).HashMapUB.128,184354,9888,847,0,52428800
All.insert (powers of two).HashMapUU.128,98062,4506,807,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.256,1481250,65408,466,0,52428800
All.insert (powers of two).Data_HashMap_Strict.256,1167833,37210,466,0,52428800
All.insert (powers of two).HashMapBL.256,450081,29172,914,1,52428800
All.insert (powers of two).HashMapBB.256,329699,11558,912,0,52428800
All.insert (powers of two).HashMapBU.256,197954,5974,912,0,52428800
All.insert (powers of two).HashMapUL.256,418063,36482,914,1,52428800
All.insert (powers of two).HashMapUB.256,210704,12540,912,0,52428800
All.insert (powers of two).HashMapUU.256,105007,10188,871,0,52428800
All.insert (powers of two).Data_HashMap_Lazy.512,2879533,150996,537,1,52428800
All.insert (powers of two).Data_HashMap_Strict.512,2238904,77332,532,0,52428800
All.insert (powers of two).HashMapBL.512,693116,60486,1041,1,52428800
All.insert (powers of two).HashMapBB.512,511588,25474,1041,1,52428800
All.insert (powers of two).HashMapBU.512,269732,10426,1040,1,52428800
