Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapUL.32,208870,55226,960,1,51380224
All.insert (small).HashMapUB.32,131511,47990,959,1,51380224
All.insert (small).HashMapUU.32,108405,29800,919,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.0,14738,4406,63,0,51380224
All.insert (powers of two).Data_HashMap_Strict.0,15266,3560,63,0,51380224
All.insert (powers of two).HashMapBL.0,17057,3886,79,0,51380224
All.insert (powers of two).HashMapBB.0,17278,3652,79,0,51380224
All.insert (powers of two).HashMapBU.0,16924,3372,79,0,51380224
All.insert (powers of two).HashMapUL.0,17023,3954,79,0,51380224
All.insert (powers of two).HashMapUB.0,16296,5134,79,0,51380224
All.insert (powers of two).HashMapUU.0,16467,3992,79,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.1,29252,6726,119,0,51380224
All.insert (powers of two).Data_HashMap_Strict.1,29919,7466,119,0,51380224
All.insert (powers of two).HashMapBL.1,80568,15918,447,0,51380224
All.insert (powers of two).HashMapBB.1,77828,22604,423,0,51380224
All.insert (powers of two).HashMapBU.1,71713,15968,423,0,51380224
All.insert (powers of two).HashMapUL.1,73361,13266,447,0,51380224
All.insert (powers of two).HashMapUB.1,67802,19016,423,0,51380224
All.insert (powers of two).HashMapUU.1,57603,15052,383,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.2,44893,7704,128,0,51380224
All.insert (powers of two).Data_HashMap_Strict.2,44152,7400,128,0,51380224
All.insert (powers of two).HashMapBL.2,72231,13754,391,0,51380224
All.insert (powers of two).HashMapBB.2,72981,22592,391,0,51380224
All.insert (powers of two).HashMapBU.2,66095,13792,391,0,51380224
All.insert (powers of two).HashMapUL.2,63897,18244,391,0,51380224
All.insert (powers of two).HashMapUB.2,67831,21768,391,0,51380224
All.insert (powers of two).HashMapUU.2,58088,13748,352,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.4,59208,15756,144,0,51380224
All.insert (powers of two).Data_HashMap_Strict.4,60529,12812,144,0,51380224
All.insert (powers of two).HashMapBL.4,79523,18272,423,0,51380224
All.insert (powers of two).HashMapBB.4,76096,13756,423,0,51380224
All.insert (powers of two).HashMapBU.4,70590,15564,423,0,51380224
All.insert (powers of two).HashMapUL.4,71317,18874,423,0,51380224
